SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,Lon_Lat
287464889,05/25/2024,CONSUMPTION OF ALCOHOL IN VEHICLE,1227,VTL,VTL,25-44,M,WHITE,0,MANHATTAN,32,1001624,239556,40.82418431716,-73.9372245623,POINT (-73.93722456230195 40.82418431716482)
247165120,06/25/2022,OBSTRUCTS VEHICULAR OR PEDESTRIAN TRAFFIC,240.20(5),(null),(null),25-44,M,BLACK HISPANIC,0,BRONX,46,1009538,248889,40.849784,-73.908594,POINT (-73.908594 40.849784)
273292093,08/22/2023,NON PAYMENT OF FARE (OTHER),1050.4(A),(null),(null),18-24,M,BLACK,0,BROOKLYN,79,996218,187524,40.68138813,-73.95684967,POINT (-73.95684967 40.68138813)
275210198,09/30/2023,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),18-24,M,BLACK HISPANIC,0,BRONX,52,1012886,253829,40.86333,-73.896468,POINT (-73.896468 40.86333)
243494705,04/11/2022,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,(null),(null),0,BRONX,45,1032091,241976,40.83072232777,-73.82712605886,POINT (-73.8271260588639 40.8307223277672)
266740672,04/16/2023,DISORDERLY CONDUCT,240.20,Penal Law,DISORDERLY CONDUCT,18-24,M,WHITE HISPANIC,0,BROOKLYN,61,994843,155033,40.5922,-73.961858,POINT (-73.961858 40.5922)
244733059,05/07/2022,"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",240.20(1),(null),(null),18-24,M,BLACK,0,QUEENS,106,1028607,187930,40.68239827933,-73.84007215775,POINT (-73.8400721577516 40.682398279333)
274298596,09/12/2023,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),25-44,M,WHITE HISPANIC,2,BROOKLYN,88,990934,191977,40.693608,-73.975894,POINT (-73.975894 40.693608)
294532227,10/06/2024,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),25-44,M,BLACK HISPANIC,0,QUEENS,115,1018750,212792,40.750676,-73.87548,POINT (-73.87548 40.750676)
238849251,01/09/2022,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),18-24,M,WHITE HISPANIC,0,BROOKLYN,72,980275,174191,40.64478976,-74.01432378,POINT (-74.01432378 40.64478976)
